Dialogue ID,Turn,Teacher,Student,Correct,Prob,KC Probs,Dialogue Acc.,KCs,Notes,Theta,Difficulty
,,,,,,,,,,,
4,1,Hi Liam 😁👋. How can I help?!,--,na,--,--,0.7500,None,,--,--
4,2,--,Don't know the answer to it,na,--,--,0.7500,None,,--,--
4,3,OK so for this one we need to replace the blanks with each value. 😃👍. Let's start with A. 6. So that makes our expression be... 8466 > 8466. Is 8466 greater than 8466? 👀,--,na,--,--,0.7500,None,,--,--
4,4,--,No it is the same,true,--,--,0.7500,1) Place Value,,--,--
4,5,Great so that one isn't correct 😃😃😃 so now let's try B... So now we put 7s in the blanks giving... 8467 > 8476. Is 8467 greater than 8476? 👀,--,na,--,--,0.7500,None,,--,--
4,6,--,No. Less than,true,1.0000,"7.0000, -4.2500, 0.0000, 1.0000",0.7500,1) Place Value,,7.0000,-4.2500
4,7,Great work,--,na,--,--,0.7500,None,,--,--
4,8,--,Thanks,na,--,--,0.7500,None,,--,--
4,9,Can you now put 9 into the blanks... What does that give? Type it in the chat 😃,--,na,--,--,0.7500,None,,--,--
4,10,--,I don't know it is to hard can you please explain it to me. Are you lair,False,1.0000,"6.6250, -2.8750, 0.0000, 1.0000",0.7500,1) Place Value,,6.6250,-2.8750
4,11,So it says 846_ > 84_6. In the blanks you need to put the number 9. What would that give? 😁,--,na,--,--,0.7500,None,,--,--
4,12,--,8469>8496,true,1.0000,"5.2500, -3.4062, 0.0000, 1.0000",0.7500,1) Place Value,,5.2500,-3.4062
4,13,PERFECT ✅✅✅✅✅✅,--,na,--,--,0.7500,None,,--,--
4,14,--,Thanks,na,--,--,0.7500,None,,--,--
4,15,So now we ask ourselves is 8469 greater than 8496? 😊,--,na,--,--,0.7500,None,,--,--
4,16,--,No less than. Is it d. D,true,1.0000,"7.3750, -4.0625, 0.0000, 1.0000",0.7500,1) Place Value,,7.3750,-4.0625
4,17,Exactly 😁😁😁. Ready to go back to eedi? 🤖,--,na,--,--,0.7500,None,,--,--
4,18,--,Yes thank you so much milo you helped me so much thank,na,--,--,0.7500,None,,--,--
4,19,"You are super welcome, bye for now 👋👋👋",--,na,--,--,0.7500,None,,--,--
,,,,,,,,,,,
5,1,Hi again Omar 😁👋. How can I help?!,--,na,--,--,0.7500,None,,--,--
5,2,--,I am stuck,na,--,--,0.7500,None,,--,--
5,3,"OK, let's take a look... 👀👀. Right for this one then, we need to use all the cards. And to make the smallest number would we put the biggest card in the units or the smallest?",--,na,--,--,0.7500,None,,--,--
5,4,--,Smallest,true,--,--,0.7500,1) Place Value,,--,--
5,5,Exactly so what is the smallest number from the cards?!,--,na,--,--,0.7500,None,,--,--
5,6,--,0,true,1.0000,"6.3750, -3.2812, 0.0000, 1.0000",0.7500,1) Place Value,,6.3750,-3.2812
5,7,Great so we can put 0 then what needs to come after the 0? 😊,--,na,--,--,0.7500,None,,--,--
5,8,--,1,true,1.0000,"7.2500, -3.4062, 0.0000, 1.0000",0.7500,1) Place Value,,7.2500,-3.4062
5,9,"Great, keep going with the numbers 😁👌",--,na,--,--,0.7500,None,,--,--
5,10,--,2 3 4 5 6 7 8 9,False,1.0000,"7.1250, -4.1250, 0.0000, 1.0000",0.7500,1) Place Value,,7.1250,-4.1250
5,11,You can only use the cards you've been given... 😊. 8 3 1 . 0. Place these from smallest to biggest...,--,na,--,--,0.7500,None,,--,--
5,12,--,0 . 1 3 8. So the answer is B,true,1.0000,"4.8750, -3.5938, 0.0000, 1.0000",0.7500,1) Place Value,,4.8750,-3.5938
5,13,"And there you go, that's the smallest number you can make from the cards 😁😁😁😁 WELL DONE!!! It is indeed ✅✅✅. Ready to go back to eedi?! 🤖. Awesome work!",--,na,--,--,0.7500,None,,--,--
5,14,--,Yes. Bye,na,--,--,0.7500,None,,--,--
5,15,"Of course, bye for now 👋👋👋👋",--,na,--,--,0.7500,None,,--,--
,,,,,,,,,,,
6,1,hello! How are you?,--,na,--,--,0.6667,None,,--,--
6,2,--,good,na,--,--,0.6667,None,,--,--
6,3,great! would you like me to look at this question with you?,--,na,--,--,0.6667,None,,--,--
6,4,--,yes,na,--,--,0.6667,None,,--,--
6,5,"I'd love to 😀. Frist, what does descending mean?",--,na,--,--,0.6667,None,,--,--
6,6,--,gowin done,true,--,--,0.6667,1) Default,,--,--
6,7,"I agree, going down. and so look a the numbers we have   -5,  -8,  7,  -6. which is the highest?",--,na,--,--,0.6667,None,,--,--
6,8,--,-8,False,1.0000,"4.5000, -3.5312, 0.0000, 1.0000",0.6667,1) Ordering Negative Numbers,,4.5000,-3.5312
6,9,"no, there are higher ones",--,na,--,--,0.6667,None,,--,--
6,10,--,7,true,1.0000,"5.2500, -4.3125, 0.0000, 1.0000",0.6667,1) Ordering Negative Numbers,,5.2500,-4.3125
6,11,"Yes, 7 is the highest",--,na,--,--,0.6667,None,,--,--
6,12,--,"7,-5,-6,-8",true,1.0000,"4.8750, -4.7500, 0.0000, 1.0000",0.6667,1) Ordering Negative Numbers,,4.8750,-4.7500
6,13,"you can think about temperatures if you like, of these 4 numbers 7 is the warmest. aww perfect answer!! well done Merrick, great job!",--,na,--,--,0.6667,None,,--,--
6,14,--,yes,na,--,--,0.6667,None,,--,--
6,15,I guess I'll leave and let you continue 😀,--,na,--,--,0.6667,None,,--,--
6,16,--,gese good biy,na,--,--,0.6667,None,,--,--
6,17,👋😊,--,na,--,--,0.6667,None,,--,--
,,,,,,,,,,,
7,1,"Hi again! Firstly, do you know what descending order is?",--,na,--,--,0.6667,None,,--,--
7,2,--,YEARH!,na,--,--,0.6667,None,,--,--
7,3,"Go on, what does that mean? 😄",--,na,--,--,0.6667,None,,--,--
7,4,--,Biggest to smallest,true,--,--,0.6667,1) Default,,--,--
7,5,Spot on!!👏🧠. From those number which number would be the biggest?,--,na,--,--,0.6667,None,,--,--
7,6,--,✅. Wich numbers,na,--,--,0.6667,None,,--,--
7,7,We have -5 -8 7 -6,--,na,--,--,0.6667,None,,--,--
7,8,--,Ohh -5,False,1.0000,"5.3750, -3.8125, 0.0000, 1.0000",0.6667,1) Ordering Negative Numbers,,5.3750,-3.8125
7,9,"7 must be the biggest number as it is the only positive number. Try and imagine or even draw out a number line, 7 is the only number greater than 0. So from our answer options we can narrow it down do B or D as they both start with 7. Does that make sense so far?",--,na,--,--,0.6667,None,,--,--
7,10,--,✅,na,--,--,0.6667,None,,--,--
7,11,Excellent,--,na,--,--,0.6667,None,,--,--
7,12,--,✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅,na,--,--,0.6667,None,,--,--
7,13,Now we have these number left -5 -8 -6,--,na,--,--,0.6667,None,,--,--
7,14,--,✅,na,--,--,0.6667,None,,--,--
7,15,"From these number which one is the biggest? So try and think of a number line, which number is closest to 0?",--,na,--,--,0.6667,None,,--,--
7,16,--,-5,true,1.0000,"6.6250, -3.9062, 0.0000, 1.0000",0.6667,1) Ordering Negative Numbers,,6.6250,-3.9062
7,17,"Well done Mariana, that points us to answer D! 7, -5, -6, -8",--,na,--,--,0.6667,None,,--,--
7,18,--,D✅,true,1.0000,"6.3750, -4.7812, 0.0000, 1.0000",0.6667,1) Ordering Negative Numbers,,6.3750,-4.7812
7,19,Bye for now!😄👋🎉,--,na,--,--,0.6667,None,,--,--
7,20,--,Bye thanks for your help!,na,--,--,0.6667,None,,--,--
,,,,,,,,,,,
8,1,Hi Amelia! How can I help?,--,na,--,--,0.5000,None,,--,--
8,2,--,hi :) I'm not sure about this question - I don't understand it,na,--,--,0.5000,None,,--,--
8,3,Let's have a looK! Do you know what x > -35 means?,--,na,--,--,0.5000,None,,--,--
8,4,--,No.,true,--,--,0.5000,1) Ordering Negative Numbers,,--,--
8,5,Okay! So the > sign means greater than. This means that any value of x needs to be greater than -35. So is -62 greater than -35?,--,na,--,--,0.5000,None,,--,--
8,6,--,yeah!...I think. 🤔🤔,False,1.0000,"4.6250, -3.9375, 0.0000, 1.0000",0.5000,1) Ordering Negative Numbers,,4.6250,-3.9375
8,7,"Think about your numbers on a number line, if a number is MORE negative, that means that it is smaller 🙂 so -62 is actually less than -35",--,na,--,--,0.5000,None,,--,--
8,8,--,so its minus 1 then? 😮,true,1.0000,"5.2500, -4.6250, 0.0000, 1.0000",0.5000,1) Ordering Negative Numbers,,5.2500,-4.6250
8,9,Yes that's correct! Well done,--,na,--,--,0.5000,None,,--,--
8,10,--,oh! yeah,na,--,--,0.5000,None,,--,--
8,11,All of the other values are either less than -35 or the same 😊. would you like any more help? 😎,--,na,--,--,0.5000,None,,--,--
8,12,--,do you mean...um... what do you mean by that? 🤨. help,na,--,--,0.5000,None,,--,--
8,13,"So -36 is smaller than -35 so it can't be that, then -35 is the same as -35 so it is not greater than it 😊",--,na,--,--,0.5000,None,,--,--
8,14,--,about help*,na,--,--,0.5000,None,,--,--
8,15,ohh is there anything else I can help you with? 😊,--,na,--,--,0.5000,None,,--,--
8,16,--,no thanks:),na,--,--,0.5000,None,,--,--
8,17,Okay! I'll let you continue with the lesson 😊 have a nice evening!,--,na,--,--,0.5000,None,,--,--
,,,,,,,,,,,
9,1,Hi how can I help?,--,na,--,--,0.6667,None,,--,--
9,2,--,hi i am a bi confused but i am embarrassed to say so,na,--,--,0.6667,None,,--,--
9,3,No worries Miriam let me help 😀,--,na,--,--,0.6667,None,,--,--
9,4,--,ok thanks. 👍,na,--,--,0.6667,None,,--,--
9,5,So we need an answer of 7. We can try each of the 4 options to see which one gives us that. 16 - (6+4) / 2,--,na,--,--,0.6667,None,,--,--
9,6,--,ok,na,--,--,0.6667,None,,--,--
9,7,First we do the brackets in BIDMAS or BODMAS. so we get 16 - 10 / 2,--,na,--,--,0.6667,None,,--,--
9,8,--,yes,na,--,--,0.6667,None,,--,--
9,9,Then we divide so 16 - 5. which gives us 11 so that won;t work. We need 7,--,na,--,--,0.6667,None,,--,--
9,10,--,Ok thanks,na,--,--,0.6667,None,,--,--
9,11,Next one is (16-6) +4 / 2. brackets first. So 10 + 4 /2. Then divide so 10 +2 = 12,--,na,--,--,0.6667,None,,--,--
9,12,--,i dont need help and more thank you have helped,na,--,--,0.6667,None,,--,--
9,13,"B doesn't work either. Ok no worries Miriam. Great, I'll leave and let you type your answer in. Good luck with the lesson!",--,na,--,--,0.6667,None,,--,--
9,14,--,hi i am comfused,na,--,--,0.6667,None,,--,--
9,15,Hi! How are you getting on with this question? 😊,--,na,--,--,0.6667,None,,--,--
9,16,--,i lthink i am strugling,na,--,--,0.6667,None,,--,--
9,17,So with this we want to work out each one and see if it gives us 7. Have you managed to check any?,--,na,--,--,0.6667,None,,--,--
9,18,--,a few the first 2,true,--,--,0.6667,1) BIDMAS,,--,--
9,19,"Great, what have you got for those?",--,na,--,--,0.6667,None,,--,--
9,20,--,42 and 54,False,1.0000,"5.0000, -4.9375, 0.0000, 1.0000",0.6667,1) BIDMAS,,5.0000,-4.9375
9,21,Let's take a look together. So 16- (6+4) / 2. which bit do we do first?,--,na,--,--,0.6667,None,,--,--
9,22,--,6+4,true,1.0000,"2.7500, -4.8750, 0.0000, 1.0000",0.6667,1) BIDMAS,,2.7500,-4.8750
9,23,Amazing. So we have 16-10 /2. what next?,--,na,--,--,0.6667,None,,--,--
9,24,--,/2,true,1.0000,"4.1250, -4.6250, 0.0000, 1.0000",0.6667,1) BIDMAS,,4.1250,-4.6250
9,25,Amazing! so 16 - 5. So that one gives us 11,--,na,--,--,0.6667,None,,--,--
9,26,--,ok,na,--,--,0.6667,None,,--,--
9,27,"Can you try B, what would we do?",--,na,--,--,0.6667,None,,--,--
9,28,--,oh i understand now thank you,na,--,--,0.6667,None,,--,--
9,29,No worries! Bye!,--,na,--,--,0.6667,None,,--,--
,,,,,,,,,,,
